relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Philips_B120N10_Baby_Monitor\cache_summary.json,4331,a2f0e6ff308457852d135ceebc7443d7cbf75720de8f3027ab67e8ca402e31e2
results\v2\early_lodo\runs\early_lodo_03_tinyml_mlp_b0_seed2026\run_result.json,14779,6b84d8112dfb9569f5a85da1a859a485ec61a7e375715eca09c5b880671d2b3b
results\v2\early_lodo\runs\early_lodo_03_tinyml_mlp_b0_seed2026\history.csv,2794,74a269fc087ac0a799f0910032cd4c3ea87bad4caecaacfdb6c6534597e2c909
results\v2\early_lodo\runs\early_lodo_03_tinyml_mlp_b0_seed2026\best_model.pt,45213,a51f11659f0ccad47e72e490de6652bac40e3219134e785ee92153a4e8b65f7a
results\v2\early_lodo\runs\early_lodo_03_tinyml_mlp_b0_seed2026\checkpoint.pt,166497,5fd7dd5cae92dec20a3ed9fc5a731f46cf782634e15eef6e7814777289969bdb
results\v2\early_lodo\runs\early_lodo_03_tinyml_mlp_b0_seed2026\run_report.txt,1986,5f9bbb6fc2616e270199d742d8256b659c666aec5100bc69564bf2c763fe4b3c
results\v2\early_lodo\locks\early_lodo_03_tinyml_mlp_b0_seed2026\lock_summary.json,3243,de2bc226c90bf8a428dc5376763b69081af1b9f8bb849aa0ab980a0b59869280
docs\v2\early_lodo\early_lodo_03_tinyml_mlp_b0_seed2026_LOCKED.md,1580,3cdd34f6f05b8119c6c547413ddc3351c066dc7f0bacaacb179f6f62ec85af15
