relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1003_WHT_Security_Camera\cache_summary.json,4487,a18845402514dda248cc5002268c939fd268d29ca4afaa295d7fd6e01657d8bc
results\v2\early_lodo\runs\early_lodo_08_compact_dnn_b0_seed2026\run_result.json,13186,9c6b74559d269900649ec62c8345f9ef1d27f6c8e7e45855a927699d6d652b66
results\v2\early_lodo\runs\early_lodo_08_compact_dnn_b0_seed2026\history.csv,2291,7176fed2890f5c2ce7c8361adf14935cae9a9f26821c6ab6a5c59d6b0ff6aa86
results\v2\early_lodo\runs\early_lodo_08_compact_dnn_b0_seed2026\best_model.pt,108449,7f9128bb1626f951b9c8bf696e3aad4ffeec4cf1a62f823f270f3fec0f17d62f
results\v2\early_lodo\runs\early_lodo_08_compact_dnn_b0_seed2026\checkpoint.pt,419839,d2cbf14e2ab008d35fb70e32d0cab822c421a733ffefe26589d72ad990b74524
results\v2\early_lodo\runs\early_lodo_08_compact_dnn_b0_seed2026\run_report.txt,2003,dacd264f5ed1c34b90d74b749a75e1cdd5030b41c5d75b20a402564805b11acf
results\v2\early_lodo\locks\early_lodo_08_compact_dnn_b0_seed2026\lock_summary.json,3259,3608599445c0bf41a25e733e50664dd407b05c1d667d3ca873689c77f28cc96f
docs\v2\early_lodo\early_lodo_08_compact_dnn_b0_seed2026_LOCKED.md,1602,72466e087fa7898f5d5b0695ec4623cff856f3277777b335024243ba6b2cd7c0
