relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Provision_PT_838_Security_Camera\cache_summary.json,4382,ca5f2e68d150ff752ef7d551252912c52ccfe48f0c1fa6c1a1e3fe5bb6bf1f3e
results\v2\early_lodo\runs\early_lodo_05_compact_dnn_b0_seed2026\run_result.json,14831,f160d55ca62032caec368d5eb582febabf430b51f42748ad646ce9555fa7de69
results\v2\early_lodo\runs\early_lodo_05_compact_dnn_b0_seed2026\history.csv,2788,b4015b978c864ddfc7363aadee7bc3d4e983f7a5b9feb5284eaea659bc427a9c
results\v2\early_lodo\runs\early_lodo_05_compact_dnn_b0_seed2026\best_model.pt,108449,550e0741e8cd84cd88327d3079df4ad0c3381a83db31e2709d38e9f57bf9da5f
results\v2\early_lodo\runs\early_lodo_05_compact_dnn_b0_seed2026\checkpoint.pt,420287,70ddec008c37ab64371a3ad4b20ab703aeb72dc1262baed95f387b5d2c15a4d0
results\v2\early_lodo\runs\early_lodo_05_compact_dnn_b0_seed2026\run_report.txt,1996,29d7069aa55dc625930425e1f9eca33a21ef5fd8487dd480438ad54ef5fc2ae2
results\v2\early_lodo\locks\early_lodo_05_compact_dnn_b0_seed2026\lock_summary.json,3252,14c48683a28e1bbb67dbd8ae3dc626b2b41c07fb4dc91e10b86ef27ea6da0165
docs\v2\early_lodo\early_lodo_05_compact_dnn_b0_seed2026_LOCKED.md,1596,0d7b9c5b2103330f96e9bc540b408571474f369272dae2b89f94a0608b74b822
