relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Samsung_SNH_1011_N_Webcam\cache_summary.json,4279,13e3f0c69cc27f6da2eafc807de96ac152404d8a17347eb5666ad352b263497b
results\v2\early_lodo\runs\early_lodo_06_tinyml_mlp_b0_seed2026\run_result.json,14575,2399b183961d9eaccf4fc4b771f9015a461c0f284090c23ccdee1205c3d6bb6e
results\v2\early_lodo\runs\early_lodo_06_tinyml_mlp_b0_seed2026\history.csv,2805,503fa647aa0ae48e0739f3e03d4059c009b2acfd2373b0a5f50c21cfc85460de
results\v2\early_lodo\runs\early_lodo_06_tinyml_mlp_b0_seed2026\best_model.pt,45149,01cc32745ae520630aec90aa74fb0a66b9b96f2fba2324a1f6fb1ca0cd063c2c
results\v2\early_lodo\runs\early_lodo_06_tinyml_mlp_b0_seed2026\checkpoint.pt,166497,0853ec0b67be1702c4cb2374c3ef07aae0456851d6bebac38f6b8aa9f03576d6
results\v2\early_lodo\runs\early_lodo_06_tinyml_mlp_b0_seed2026\run_report.txt,1922,f9905cb931a60dbc348e913fe0e59c4148ae6f3be9f34c6534c99df1e552ad16
results\v2\early_lodo\locks\early_lodo_06_tinyml_mlp_b0_seed2026\lock_summary.json,3227,269dfe4a2e947dbd4d1a279fedb244be6341f070a70964a44070317b27544432
docs\v2\early_lodo\early_lodo_06_tinyml_mlp_b0_seed2026_LOCKED.md,1563,80d6fb5cc5278c3004be0afd1977ddc583e8c016b3d1099c70e7f39099d992d3
