relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Samsung_SNH_1011_N_Webcam\cache_summary.json,4279,13e3f0c69cc27f6da2eafc807de96ac152404d8a17347eb5666ad352b263497b
results\v2\early_lodo\runs\early_lodo_06_compact_dnn_b0_seed2026\run_result.json,14623,70d88272f13c162c685f730950a7ced90d5799a50570fb8339598851a1a949d8
results\v2\early_lodo\runs\early_lodo_06_compact_dnn_b0_seed2026\history.csv,2798,718403ac4daceea1e32f34b73667668a625ff61deecd252ea7017c08d6e23adf
results\v2\early_lodo\runs\early_lodo_06_compact_dnn_b0_seed2026\best_model.pt,108449,02881eeb8b44f32745a7383fc5cfb41c4c3e21f5d9de571bd350121473c467ce
results\v2\early_lodo\runs\early_lodo_06_compact_dnn_b0_seed2026\checkpoint.pt,420287,9b840f72419093a106f16e9ba98b986fe60f6d7482920bb85862405975edc542
results\v2\early_lodo\runs\early_lodo_06_compact_dnn_b0_seed2026\run_report.txt,1923,4f7e57444fdb0846778e2397d097599d4d732e1bf8dd4bb59252855236966609
results\v2\early_lodo\locks\early_lodo_06_compact_dnn_b0_seed2026\lock_summary.json,3226,8dbdfb0dff8241fda54e1e61953a77154db13bf52acfd5ecee5fd8d9ecf529ec
docs\v2\early_lodo\early_lodo_06_compact_dnn_b0_seed2026_LOCKED.md,1569,5061cbad143c653b83f2d3439a85322d5c3190ea6d70751002b551bfe8f9f10b
