relative_path,size_bytes,sha256
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\cache_summary.json,4485,266e84edeee502f2f46d7349ae7bb3f439f87cda745143062529e3cbb0b56862
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\scaler.npz,4036,d75f613b8cffc18e90916c655a0e015a9d55e2da18ec3fc7db56844ba4f6c225
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\test_global_indices.npy,6776504,42a414c9c8ecbef87700ea9f02ca4541df8fc79502f0fed5a187adffa9cdeb75
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\test_occurrence_count.npy,3388316,8282b091d9f8f66f251a1092ae32ec67d4a789cb61d97d220d6212c62e88d3f6
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\test_source_split.npy,847175,5c4e76e682a292dd4180b10f6f90d5ed9b8bae05bcde3db8825f2734163bb20f
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\train_global_indices.npy,9160880,b1fa9ec1c6832fffd1c6e22e88da02a87d892ebffe606211f4cd4597b7c96a1c
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\validation_global_indices.npy,1960032,8d90f1c509abb12ffc62cfb6bd0cdac51ad24124384de45297d321ec342db028
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\x_test.npy,389641748,bbd9794ebe578da8a00274f2cc60865ca005f16891a61116a0810c31ebb91b95
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\x_train.npy,526743368,dc835958fc1459e7b83249b137127814a1d7c763fbd3b7559b172a51666c1030
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\x_validation.npy,112694608,a0896ea0630c747af1104adfbc6ce110bf272e1ac28c8118e697a3721040327f
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\y_test.npy,847175,7821dfff55b8d6a90df586e52cbe70c11a7cb43d70dfc241342690cd94ded3c6
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\y_train.npy,1145222,2ae778c8b6b4b28d0d26057496321d68d9def3fb94182c6a298dc911679933be
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\y_validation.npy,245116,74438dbdc1d31554a348856efd210cd6ea3dc87af30d7b834a66d01354d6b67b
