relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Danmini_Doorbell\cache_summary.json,4174,e76ddbde19dc26b8fed2157d70f73080c75ad68c80c46a44a5b552dfbe7adbbf
results\v2\early_lodo\runs\early_lodo_00_compact_dnn_b0_seed2026\run_result.json,12592,f58b032f168adc1d570d067f9d15b748a21280099925848eea2e41c0488d3301
results\v2\early_lodo\runs\early_lodo_00_compact_dnn_b0_seed2026\history.csv,2113,a977478744aed54f3c2e6f001977ecf22488dc6e07c6052985d08754ff65aa41
results\v2\early_lodo\runs\early_lodo_00_compact_dnn_b0_seed2026\best_model.pt,108449,a2beeb731e8d66581e0227ed437d6c7b718bee83e2139023aa2a32b003c5eb72
results\v2\early_lodo\runs\early_lodo_00_compact_dnn_b0_seed2026\checkpoint.pt,419711,832dbb57698f694292fffd7f5d5f2e2e7ee82341f574fa7edad3d7b84e02868b
results\v2\early_lodo\runs\early_lodo_00_compact_dnn_b0_seed2026\run_report.txt,1978,bf5c7dd8c7b7b8dffaaad798f3bb588be98ddd3c9815c704f50b266dd6391ea8
results\v2\early_lodo\locks\early_lodo_00_compact_dnn_b0_seed2026\lock_summary.json,3233,b41a4a130c10b1a8fe797f119d05ed4f287dc79c4d8321144f02022a36e6591d
docs\v2\early_lodo\early_lodo_00_compact_dnn_b0_seed2026_LOCKED.md,1577,9509ebc9ad41a9dbec3ec3645c7f44bc1208b6e2d2ea31eb2dff21d576be1622
