relative_path,size_bytes,sha256
scripts\75_run_early_lodo_hgb_experiment_v2.py,37466,23ca92521c69aa8544cbbb9cabba0cfe2e3b168e82077bb5cd9de5c5e7f5988c
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1002_WHT_Security_Camera\cache_summary.json,4485,266e84edeee502f2f46d7349ae7bb3f439f87cda745143062529e3cbb0b56862
results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\run_result.json,8942,9f8adf9a61e32bf012993c996997ec98476ed3e8434a157d1a19a2b1c01ae485
results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\run_report.txt,2460,f5f1ba2995c6da3d64552151fea89d9f8c901501ff98ad359e2482cf38d1f431
results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\model.joblib,925008,13da5dc4c2345d2a6fa6573f84abd59f281c26f4aa0d68068c1af3a9afaeebb4
results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\validation_predictions.npy,245116,5ddc5443368717451a5a41e0479a2afe557c82958cea7a3a3e581a4fecf0971d
results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\validation_probabilities.npy,2939984,d5b85c424bd0c0299494e69d35f53df453f703a842161c5fcd66af7a6b15dd28
results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\test_predictions.npy,847175,25e81f1af4dcb7f71a0a4920217eccd5c5332d343ea2c58d67fde718d21e1f8a
results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\test_probabilities.npy,10164692,befce5823588595f4e335c50b982340fadfc88409cd44dcba8716c5283fbbac6
results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\execution_state.json,666,e3b77a8d4b41519dfd4c888712786535434989972ce95870b4d6a5b2bfcf490a
results\v2\early_lodo\locks\early_lodo_07_hist_gradient_boosting_b0_seed2026\lock_summary.json,3607,96240cdd8f419ed2e3c41a890a808a501b2a50888b23dabd7323a904e6d5c020
docs\v2\early_lodo\early_lodo_07_hist_gradient_boosting_b0_seed2026_LOCKED.md,1944,a933ba3a9d946145c3febbd23f3fb887226f70aafdb8ff686c099828be6f7c83
