relative_path,size_bytes,sha256
scripts\75_run_early_lodo_hgb_experiment_v2.py,37466,23ca92521c69aa8544cbbb9cabba0cfe2e3b168e82077bb5cd9de5c5e7f5988c
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Provision_PT_737E_Security_Camera\cache_summary.json,4392,dc5bbbae03228603a9d93e9785eb9f1544d2175e9002e0ef6d1d831f5ef302e1
results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\run_result.json,8828,ed69d448f8b5f453d129dc9f9ed3826ca082a1eb9d0263582c88a940cf8dd57b
results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\run_report.txt,2399,ee1ec391751a0e4e2eb286ddaf46cb2ddcdc5577c9462a05cd0a88b787f8aa26
results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\model.joblib,868048,b1be01c95dab4ba274e456d54868420f63211aba12dafa934893e4355e87349f
results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\validation_predictions.npy,251023,985ee0e3f8833979305706f3723c987eaf3063b876882add84bfdff63c934617
results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\validation_probabilities.npy,3010868,58d40bbfeade0d574b05678edaceaec6400c912dc204cc63290ade3ce7597456
results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\test_predictions.npy,807964,c4b592a11b9ebd6026f4a6306a6b5efbf9229c290c90ace7f7acb4bdd49c0324
results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\test_probabilities.npy,9694160,31047961a94b89fb837fb6861cc803445535d3d04cb2ae6f447c16b426573e63
results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\execution_state.json,670,8976554b72caa956898e53008928b9c9e964fa086c96615e21e58401b35cfb36
results\v2\early_lodo\locks\early_lodo_04_hist_gradient_boosting_b0_seed2026\lock_summary.json,3578,74a148c9adfd5a676539d0df02b6a6f741e4ebcaf005784087e21acf2c5a2579
docs\v2\early_lodo\early_lodo_04_hist_gradient_boosting_b0_seed2026_LOCKED.md,1915,483960bcfeb7f0ae414ba276cd6c03a7b3100fe24bdc69f18353a8a2d85ecd34
