relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Ennio_Doorbell\cache_summary.json,4136,48a0f63aefc946921d232de741c055cd8a1b39c8cb535845876a3cb4663aecb2
results\v2\early_lodo\runs\early_lodo_02_tinyml_mlp_b0_seed2026\run_result.json,14572,ce4d44e4fc3a37a9a4e95f1fbc7972401ce9f06ed7d1ff7b4707df12b7e306cb
results\v2\early_lodo\runs\early_lodo_02_tinyml_mlp_b0_seed2026\history.csv,2816,e78e185b189e05d01fa80c247b1b773217195f437d26b261a3131a9a91a1c3f8
results\v2\early_lodo\runs\early_lodo_02_tinyml_mlp_b0_seed2026\best_model.pt,45213,a8a8a368863cea63f2204a26690c6d6774bcc1c342689e08436c76352aedf341
results\v2\early_lodo\runs\early_lodo_02_tinyml_mlp_b0_seed2026\checkpoint.pt,166497,b6f51c21570727bd36d2af017ddb804bbb9355be8b86dde83c1a34e26e135b43
results\v2\early_lodo\runs\early_lodo_02_tinyml_mlp_b0_seed2026\run_report.txt,1910,9d398254400b1103f3b729e4d9a2aaf6e891f12044c4583644e8f146d6d3532e
results\v2\early_lodo\locks\early_lodo_02_tinyml_mlp_b0_seed2026\lock_summary.json,3213,53a9c03ff5707af3e48947f33151e30be4ce4007c62cc136e3365248df6846bc
docs\v2\early_lodo\early_lodo_02_tinyml_mlp_b0_seed2026_LOCKED.md,1551,b5637ba4dec51bc035a6ce2a10927e7280cff4197b56c93a4c6c20f9db269e4e
