relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Provision_PT_737E_Security_Camera\cache_summary.json,4392,dc5bbbae03228603a9d93e9785eb9f1544d2175e9002e0ef6d1d831f5ef302e1
results\v2\early_lodo\runs\early_lodo_04_compact_dnn_b0_seed2026\run_result.json,14848,7b6664924a3ad40d8c8c87dadc8380e152ec3a2a3b5326babca49ac4a09b7641
results\v2\early_lodo\runs\early_lodo_04_compact_dnn_b0_seed2026\history.csv,2802,aef7fc9428bab18c0c51ebb188507b6b6cb3bf2b0bdff3c3740634b04598892d
results\v2\early_lodo\runs\early_lodo_04_compact_dnn_b0_seed2026\best_model.pt,108449,9deba5663955e93793db603ff2ecaaa775abc7b90ab111face22a133dbaa47e7
results\v2\early_lodo\runs\early_lodo_04_compact_dnn_b0_seed2026\checkpoint.pt,420287,ba7db73e957ed13e84feb540a52fa657ff24236a311bb48078786b38c66ad9d1
results\v2\early_lodo\runs\early_lodo_04_compact_dnn_b0_seed2026\run_report.txt,1994,0c3378a1ad6df72e79df53ce49c169a1f26ce0a9fd1aa75ba4cd2b9767b854d3
results\v2\early_lodo\locks\early_lodo_04_compact_dnn_b0_seed2026\lock_summary.json,3251,e51891c174bbb172853a27532e52c6a1020d81214186a33366edafa01d90a171
docs\v2\early_lodo\early_lodo_04_compact_dnn_b0_seed2026_LOCKED.md,1594,d4870c32a77c0ac9261bdcd735beb764bfe037f15424dec6e0f1f5cd144cbf6e
