relative_path,size_bytes,sha256
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
results\v2\early_lodo\early_lodo_execution_ledger_v2.csv,13112,53cc40cf1a7421cb61e5907cd3ad010f1e29a2c6adc0aca5c2849981f1126a3e
data\processed\early_lodo_fold_cache_v2\SimpleHome_XCS7_1003_WHT_Security_Camera\cache_summary.json,4487,a18845402514dda248cc5002268c939fd268d29ca4afaa295d7fd6e01657d8bc
results\v2\early_lodo\devices\SimpleHome_XCS7_1003_WHT_Security_Camera\cache_release_manifest.csv,2285,f64b096ad70359f94b86f8dc5fc16c1764648a6bcd368006b0990931c3768413
results\v2\early_lodo\devices\SimpleHome_XCS7_1003_WHT_Security_Camera\device_summary.json,6596,485ed8f0257c23dd94b996498b9d8a2b2015b895147462b6b22bafedecb68143
results\v2\early_lodo\devices\SimpleHome_XCS7_1003_WHT_Security_Camera\model_comparison.csv,1919,c241cf13a63daa4fe2e0b72fee370abc21fc1dc4ec06b297b0b1a3b61ae54096
results\v2\early_lodo\devices\SimpleHome_XCS7_1003_WHT_Security_Camera\device_report.txt,1845,ded2b57d8d46c4175d7e766d1bffed411587e757e89b44c45ad5c8a08c8aa687
results\v2\early_lodo\locks\early_lodo_08_tinyml_mlp_b0_seed2026\lock_summary.json,3257,9891488d18052cb7a6007fde6a9aa8688704a499bb4afecaaf5649d81afc845f
results\v2\early_lodo\runs\early_lodo_08_tinyml_mlp_b0_seed2026\run_result.json,14808,877df1f2ce2ca9674327286ac7bc38b675d7412c9fd3c684b8c59e38c02061fe
results\v2\early_lodo\locks\early_lodo_08_compact_dnn_b0_seed2026\lock_summary.json,3259,3608599445c0bf41a25e733e50664dd407b05c1d667d3ca873689c77f28cc96f
results\v2\early_lodo\runs\early_lodo_08_compact_dnn_b0_seed2026\run_result.json,13186,9c6b74559d269900649ec62c8345f9ef1d27f6c8e7e45855a927699d6d652b66
results\v2\early_lodo\locks\early_lodo_08_hist_gradient_boosting_b0_seed2026\lock_summary.json,3572,62edbc2c06e0928b731213e4be0caabf18ac3349d85174e06c15baa81232dd36
results\v2\early_lodo\runs\early_lodo_08_hist_gradient_boosting_b0_seed2026\run_result.json,8734,ba77e146e182209ccfb0b4a2418e3ebbf7169e1ceed191c16d37adc909f1c4dc
docs\v2\early_lodo\devices\SimpleHome_XCS7_1003_WHT_Security_Camera_COMPLETE.md,1444,417e341ef260220febebddbf52c823280fad6abb3235782d02ad3d51966e2b0f
