relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Ecobee_Thermostat\cache_summary.json,4184,883ff122350e4fcb87af156d206b5b0fd31d553a36598377742f2f11e9d90454
results\v2\early_lodo\runs\early_lodo_01_tinyml_mlp_b0_seed2026\run_result.json,14788,f89c01d8b42a2b28149485d43d966954243e82df3aa66cb82f6b65a54726af83
results\v2\early_lodo\runs\early_lodo_01_tinyml_mlp_b0_seed2026\history.csv,2818,a22db75641b9ce7d52369b17e9f4bff5f56a20e903ecdebd1225f7f6b2466a63
results\v2\early_lodo\runs\early_lodo_01_tinyml_mlp_b0_seed2026\best_model.pt,45213,3f49b2e32271e26d352f3738c22dc82f770055aa1e19a3a305daa5e41542b0f6
results\v2\early_lodo\runs\early_lodo_01_tinyml_mlp_b0_seed2026\checkpoint.pt,166497,4e02117f4a6e41371f14048bf2231fad0c3dc502090444d4f866d245051f12ce
results\v2\early_lodo\runs\early_lodo_01_tinyml_mlp_b0_seed2026\run_report.txt,1977,a56b0943d44b07a485bb1e61428f69c19b5df51076cd828a33fd12fa989dc630
results\v2\early_lodo\locks\early_lodo_01_tinyml_mlp_b0_seed2026\lock_summary.json,3236,aa1a44c810169819c8709b8dfa263e7a4028125bdb7722c97d6788d85a2e8dac
docs\v2\early_lodo\early_lodo_01_tinyml_mlp_b0_seed2026_LOCKED.md,1572,311bd5ad1dc0c64e8561b51cb18e2df11a324e11666e0405bc7d005471e8e44b
