relative_path,size_bytes,sha256
scripts\75_run_early_lodo_hgb_experiment_v2.py,37466,23ca92521c69aa8544cbbb9cabba0cfe2e3b168e82077bb5cd9de5c5e7f5988c
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Ecobee_Thermostat\cache_summary.json,4184,883ff122350e4fcb87af156d206b5b0fd31d553a36598377742f2f11e9d90454
results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\run_result.json,8849,bd1d052b2db25a24016e5b3139eba278891b5e774c148ea238cc276f0ac099cc
results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\run_report.txt,2405,475ab30d47894281d465f97db9115673588bf61b55d8fc3e2f28d9f863713c84
results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\model.joblib,970880,ae61b7edd703a81752f578e7d86eb5018a3faf15178cd37abcc3503e05a0f3e9
results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\validation_predictions.npy,248437,bd6b0a27ef67fbe4d3522e81fa280d1163ab5e6ed35432d990708ca859d341b8
results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\validation_probabilities.npy,2979836,30bfa094c2cd658ede4c2614c92ed86d172fa5230ae693d88051b9b18e2e6c68
results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\test_predictions.npy,823262,71299ef0e153ce75516d68492290557e219eb4dc398da0daa531fd06023e5925
results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\test_probabilities.npy,9877736,87fdb1b433d5757d8b702a019e10baa49cefd2fe547ffbd86927cf7e6c5fea52
results\v2\early_lodo\runs\early_lodo_01_hist_gradient_boosting_b0_seed2026\execution_state.json,668,b63a6dace2f5121f506b1e706075af5777d952dd7296e176025b34e4ea5c46d3
results\v2\early_lodo\locks\early_lodo_01_hist_gradient_boosting_b0_seed2026\lock_summary.json,3565,ef26d440f252cf482cfe9fd3fe158be42c82b64823eef9c4b23bbfbafba8f53f
docs\v2\early_lodo\early_lodo_01_hist_gradient_boosting_b0_seed2026_LOCKED.md,1902,0dce73d84d0327e71ece607c1d6a360a80a6b8de87342ebe02554e99e8c31b2a
