relative_path,size_bytes,sha256
scripts\75_run_early_lodo_hgb_experiment_v2.py,37466,23ca92521c69aa8544cbbb9cabba0cfe2e3b168e82077bb5cd9de5c5e7f5988c
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Danmini_Doorbell\cache_summary.json,4174,e76ddbde19dc26b8fed2157d70f73080c75ad68c80c46a44a5b552dfbe7adbbf
results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\run_result.json,8609,dd685e2fe6a99d928e3e15a609db51bb17e25705a927cee941bcd8b0b8e1e3e6
results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\run_report.txt,2353,09c078f6ea16d6fce139521d4c6b8eb804e87338e5039c0390fb3e47c3257c59
results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\model.joblib,945584,20ca603b46da0fe9d6e63220d37def384246c69e170e4f326e3512d05cd97c1d
results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\validation_predictions.npy,222926,2690b1f7eefd660a969822a4d1cbefaa5f735b0584ae255ed784cfd8cfc63924
results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\validation_probabilities.npy,2673704,f8857fc3f96b05a1bf7b64bdf17d1fca3e94d71e098e5cad884a7a08441f2dd3
results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\test_predictions.npy,996667,8b1e3462df4ea34195dafdee252a8cef73ff564aee8ad5e2607eb75bc16061f6
results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\test_probabilities.npy,11958596,fb36c8af9b9dff97d1acff4afc050eff8d68279918b76d59a8796336e35aac73
results\v2\early_lodo\runs\early_lodo_00_hist_gradient_boosting_b0_seed2026\execution_state.json,669,99e7ed502076eb21a689a976a56061371aeb62be8992518aeb4f3fc8fb60bd7a
results\v2\early_lodo\locks\early_lodo_00_hist_gradient_boosting_b0_seed2026\lock_summary.json,3529,3051149fe8f7ca1dcdf17b5456e13eeeb88564e3ba9176784bf785f11726b1ca
docs\v2\early_lodo\early_lodo_00_hist_gradient_boosting_b0_seed2026_LOCKED.md,1882,6d4b2dbb1fedb27de1e85cc6161bda8225bb213a52b70fa437f189e9c02584cf
