relative_path,size_bytes,sha256
scripts\72_run_early_lodo_neural_experiment_v2.py,42206,57f12cec9daa03adbc8ee0fba4d2b6db61c499e0f286d673e7c636e9c686628b
results\v2\audit\early_lodo_protocol_locked_v2.json,6451,12478b426af898c9be6bedf8238e6fd7fff837b0e3390a8c1812247ce721cc08
results\v2\audit\early_lodo_run_matrix_v2.csv,5960,ddf63e29eb30e21d7e30e28e365693c053879ae24d1caa5454d31f2ec536fcef
data\processed\early_lodo_fold_cache_v2\Provision_PT_838_Security_Camera\cache_summary.json,4382,ca5f2e68d150ff752ef7d551252912c52ccfe48f0c1fa6c1a1e3fe5bb6bf1f3e
results\v2\early_lodo\runs\early_lodo_05_tinyml_mlp_b0_seed2026\run_result.json,14793,71fad973aa0ebb75b401f5e722fa57758237eea24bbd62f216165a5c0efa929c
results\v2\early_lodo\runs\early_lodo_05_tinyml_mlp_b0_seed2026\history.csv,2807,4c634597e5e7ce72876da2dc40f69434d6742848be47c608cac2da8444a656de
results\v2\early_lodo\runs\early_lodo_05_tinyml_mlp_b0_seed2026\best_model.pt,45149,b87dcea2a5f4a21d4a9b957594acf17960ebba3df4e629fc6223fe1c669af5e0
results\v2\early_lodo\runs\early_lodo_05_tinyml_mlp_b0_seed2026\checkpoint.pt,166497,c4bdf2ed114e61e338798f96d2cfed5ca89eb055ed47006dcc52fe66f005459c
results\v2\early_lodo\runs\early_lodo_05_tinyml_mlp_b0_seed2026\run_report.txt,1993,cafac9e6678f85c2c6ab0fb8f20129c58f6822cab8b2f726f605e529b8a6d808
results\v2\early_lodo\locks\early_lodo_05_tinyml_mlp_b0_seed2026\lock_summary.json,3251,aad106d5a53c48fccefaf71fc4465cd591caabbdc3200fb1c0fb279296b87cb6
docs\v2\early_lodo\early_lodo_05_tinyml_mlp_b0_seed2026_LOCKED.md,1587,a1cc8d793d74742cfa4d7fc28572d30a8af677a69a7af01f00585ec4fc323838
